split_id,predictive_model_id,job_id,encoding_value_encoding,encoding_prefix_length,encoding_task_generation_type,labelling_type,labelling_attribute_name,clustering_method,predictive_model,evaluation_elapsed_time,evaluation_f1_score,evaluation_accuracy,evaluation_precision,evaluation_recall,evaluation_auc,evaluation_true_positive,evaluation_false_positive,evaluation_true_negative,evaluation_false_negative,hyperparameter_optimizer_performance_metric,hyperparameter_optimizer_max_evaluations
17,243089,382,complex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.275293,0.74487195960348,0.756109247724006,0.755012143435402,0.741277350680071,0.782182046877493,1008.0,320.0,570.0,189.0,auc,1000
5,2,45,complex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.288217,0.314299032746766,0.458361658735554,0.229180829367777,0.5,0.585979215014091,2697.0,3187.0,0.0,0.0,,
7,98819,132,complex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.121574,0.38689776733255,0.631049353138476,0.315524676569238,0.5,0.5,0.0,0.0,1317.0,770.0,auc,1000
4,3,29,simpleIndex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.069085,0.411105810004315,0.483948251078103,0.497154825104822,0.498724210565045,0.475880497070375,872.0,947.0,138.0,130.0,,
5,3,55,complex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.221615,0.616488621772941,0.629673691366417,0.628310222317161,0.618522143222042,0.656726162865711,1307.0,789.0,2398.0,1390.0,,
5,1,10,simpleIndex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.024639,0.504773239897683,0.512697652132247,0.520255393436069,0.518548617051611,0.509184396184589,667.0,682.0,403.0,335.0,,
4,1,9,simpleIndex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.024987,0.499571714028045,0.512697652132247,0.522967132055982,0.519960999659667,0.509559682478361,704.0,719.0,366.0,298.0,,
4,3,59,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.118375,0.444117026186379,0.467199184228416,0.483712437376602,0.4875498802316,0.472245364609819,1974.0,2412.0,775.0,723.0,,
5,2,50,simpleIndex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.082148,0.514168441702416,0.536199864038069,0.577491827007062,0.557802025027751,0.596477928328365,2204.0,2236.0,951.0,493.0,,
5,2,20,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.139699,0.364460216145037,0.494489698131289,0.622780034329804,0.513290469751741,0.59577480982735,988.0,1041.0,44.0,14.0,,
5,2,75,complex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.746479,0.603564525643813,0.619907509359172,0.615932649326508,0.605884892753439,0.647721868894373,1893.0,1246.0,3737.0,2206.0,,
5,1,70,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.102100,0.490108701532579,0.491741907068928,0.502079922381905,0.502006749760604,0.492726942744634,2490.0,3007.0,1976.0,1609.0,,
5,1,35,complex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.317458,0.509016792190804,0.523283480625425,0.513448173448174,0.512643131352934,0.509365075653212,1038.0,1146.0,2041.0,1659.0,,
4,2,49,simpleIndex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.087143,0.483550645946081,0.518014955812373,0.567171329094811,0.543295383695745,0.581253165232924,2284.0,2423.0,764.0,413.0,,
5,3,30,simpleIndex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.099077,0.412603828230882,0.455198850023958,0.427156430782472,0.445193483999742,0.435939641454418,194.0,329.0,756.0,808.0,,
4,2,14,complex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.103771,0.538568299218488,0.538572113080978,0.539559245230233,0.539539814380456,0.589547172935236,565.0,526.0,559.0,437.0,,
14,3,329,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.091781,0.296010254645691,0.417639286500771,0.708530805687204,0.500849377123443,0.370348552886446,9.0,0.0,3784.0,5289.0,,
30,2,710,simpleIndex,70,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.193468,0.330795122220383,0.494310686015831,0.247155343007916,0.5,0.55156271184735,0.0,0.0,5995.0,6133.0,,
4,1,4,complex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.112725,0.523553225074636,0.540967896502156,0.538697369434161,0.534209461261808,0.547010127211016,365.0,321.0,764.0,637.0,,
5,1,40,simpleIndex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.117330,0.503855581539347,0.503908905506458,0.506538647299289,0.50655855458406,0.487862898717549,1452.0,1674.0,1513.0,1245.0,,
1,70301,86,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.253200,0.537440828549583,0.540739925126624,0.557793934965291,0.554210859983226,0.567833414776378,2839.0,2911.0,2072.0,1260.0,auc,1000
2,65503,77,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.351149,0.509347620636517,0.529508918740366,0.516037469968087,0.514654117730462,0.535478225380786,1484.0,1658.0,3325.0,2615.0,auc,1000
29,3,624,complex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.181270,0.386244375475202,0.556203164029975,0.748641909341883,0.51559558720849,0.88641495601173,1300.0,1064.0,36.0,2.0,,
5,3,60,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.122431,0.314867744736917,0.457851801495581,0.395687943262411,0.499358315012357,0.47613415829207,2691.0,3184.0,3.0,6.0,,
5,3,25,complex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.089476,0.382434973912214,0.52707235265932,0.562176938369781,0.508630205027733,0.612023878510261,45.0,30.0,1055.0,957.0,,
2,60940,67,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.124744,0.491265740246268,0.493613741466637,0.505248933289571,0.505010938141131,0.501390822967399,2550.0,3050.0,1933.0,1549.0,auc,1000
1,85107,111,complex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:01.745704,0.500554755016313,0.502183406113537,0.50160433048624,0.501621313149465,0.527743053919151,2650.0,3237.0,3330.0,2691.0,auc,1000
